patient_id,first_name,last_name,gender,date_of_birth,ssn,address,city,state,postal_code,phone_number,email,blood_type,height,weight,bmi,temperature,heart_rate,blood_pressure,cholesterol,glucose,allergies,medications,diagnosis,family_history,last_visit_date,insurance_provider,insurance_policy_number,primary_care_physician,emergency_contact_name,emergency_contact_phone,emergency_contact_relationship,smoking_status,alcohol_consumption
1,Else,Whittenbury,Female,2/5/1983,258-05-2325,82284 Forest Crossing,Barranca de Upía,,501007,542-473-6288,ewhittenbury0@fema.gov,AB-,74.48,331.61,597.78950021978376969,37.17,61,63,279,74,Pollen,Ibuprofen,Asthma,Cancer,4/15/2021,Cigna,7848959525,Else Whittenbury,Else Whittenbury,670-851-8510,Parent,true,true
2,Elka,Staite,Female,5/25/1966,754-37-6434,4582 Macpherson Alley,La Salud,,,714-540-7907,estaite1@drupal.org,O+,75.59,241.86,423.287416408567109091,40.84,130,190,260,171,Dust,Aspirin,Asthma,Heart disease,11/30/2021,Blue Cross Blue Shield,8680863847,Elka Staite,Elka Staite,921-277-4739,Spouse,true,false
3,Kacey,Pala,Female,8/21/1968,615-66-1594,36 Thackeray Parkway,Huangfang,,,846-274-7214,kpala2@engadget.com,O+,58.72,329.91,956.804889411904461389,40.06,153,65,117,274,Pet dander,Paracetamol,Asthma,Heart disease,9/15/2020,Cigna,4924678438,Kacey Pala,Kacey Pala,274-186-5071,Spouse,true,false
4,Morgun,Madner,Male,10/31/2014,306-23-0798,0 Fairfield Point,Bafia,,,857-113-3401,mmadner3@uiuc.edu,A-,83.75,409.42,583.713076408999777233,37.53,94,180,131,290,Pet dander,Ibuprofen,Hypertension,Alzheimer's,9/26/2020,Cigna,8784286744,Morgun Madner,Morgun Madner,189-882-8611,Spouse,true,true
5,Judith,Scudamore,Female,6/10/1951,788-86-8963,16952 Kensington Drive,Petropavlovskaya,,366013,776-733-3459,jscudamore4@amazon.de,AB+,89.92,219.48,271.445317941768721267,35.71,43,101,157,199,Pet dander,Paracetamol,Asthma,Alzheimer's,9/8/2020,Blue Cross Blue Shield,2102712485,Judith Scudamore,Judith Scudamore,202-357-1155,Spouse,false,true
6,Flinn,Lindstrom,Male,10/23/1996,430-19-1849,97 Hollow Ridge Center,København,Region Hovedstaden,1098,581-499-9142,flindstrom5@addtoany.com,AB-,83.7,337.89,482.307952535724532487,36.73,190,77,133,78,Pet dander,Aspirin,Hypertension,Cancer,9/17/2021,Cigna,1760804855,Flinn Lindstrom,Flinn Lindstrom,183-773-9387,Sibling,true,true
7,June,Vause,Female,3/27/1986,508-92-6604,6715 Bartillon Lane,Baraya,,411067,113-583-9004,jvause6@liveinternet.ru,A+,65.0,103.12,244.071005917159763314,41.78,173,183,102,157,Food,Paracetamol,Hypertension,Heart disease,10/15/2020,Aetna,5444827544,June Vause,June Vause,970-585-9023,Sibling,false,true
8,Roddie,Damiral,Male,7/20/1971,565-70-7292,8194 Beilfuss Point,Palotina,,85950-000,503-223-8506,rdamiral7@behance.net,O+,57.48,227.94,689.901398035515303135,41.66,43,111,224,74,Pollen,Ibuprofen,Asthma,Alzheimer's,1/11/2021,Aetna,1988424303,Roddie Damiral,Roddie Damiral,861-864-0662,Sibling,false,false
9,Derick,Cristobal,Male,10/31/1975,347-05-0167,0 Luster Crossing,Susunan,,,435-234-8111,dcristobal8@thetimes.co.uk,O-,69.83,280.34,574.911485389867567538,39.89,48,199,150,140,Pollen,Paracetamol,Hypertension,Heart disease,11/6/2021,Blue Cross Blue Shield,3077756028,Derick Cristobal,Derick Cristobal,967-447-8253,Spouse,true,false
10,Charo,Waker,Female,6/10/2006,279-12-6083,52488 Buell Center,Creighton,,3263,966-432-9965,cwaker9@seattletimes.com,B+,81.54,246.2,370.293965279240453981,39.52,46,145,225,70,Dust,Aspirin,Diabetes,Cancer,7/15/2020,Blue Cross Blue Shield,8471478350,Charo Waker,Charo Waker,276-515-2504,Sibling,true,false
